Default Monster Data					Stats								Movement and Combat					Attack 1			Attack 2			    Spell Attack		    Spell Attack 2		Resistances										Misc
#	Name	Picture	LVL	 HP 	AC	 EXP 	Treasure	Quest	Fly	Move	AI Type	Hst	Spd	Rec	Pref	Bonus	Type	Damage	Miss	Att%	Type	Damage	Miss	Use%	Spl,Mas,Skil	Use%	Spl,Mas,Skil	Fire	Air	Water	Earth	Mind	Spirit	Body	Light	Dark	Phys	Special
240	peasant	Peasant Goblin female C C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
241	peasant	Peasant Goblin Male A A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
242	peasant	Peasant Goblin Male A B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	peasant	Peasant Goblin Male A C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
244	peasant	Peasant Goblin Male B A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
245	peasant	Peasant Goblin Male B B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
246	peasant	Peasant Goblin Male B C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
247	peasant	Peasant Goblin Male C A	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248	peasant	Peasant Goblin Male C B	2	25	6	26	4D6	1	N	Long	Wimp	4	172	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
249	peasant	Peasant Goblin Male C C	3	30	7	45	6D6	1	N	Long	Wimp	4	175	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
250	Swamp Troll	Troll A	24	295	21	1368	6%18D10+L1Belt	1	N	Med	Aggress	2	321	90	W	0	Phys	1D27+5	0	0	0	0	0	0	0	0	0	5	20	25	15	5	5	15	0	5	15	0
251	Mountain Troll	Troll B	31	435	33	2201	6%23D16+L2Belt	1	N	Med	Aggress	2	379	80	W	0	Phys	4D9+5	0	0	0	0	0	0	0	0	0	10	20	20	35	10	10	15	0	10	15	0
252	Maneater	Troll C	38	600	45	3230	6%53D12+L3Belt	1	N	Med	Suicidal	2	478	70	W	0	Phys	5D10+5	0	0	0	0	0	0	0	0	0	10	25	25	40	10	10	20	0	10	20	0
253	Cursed Tree	Treant A	16	170	9	656	24%L3Gem	0	N	stand	Suicidal	1	176	100	D	0	Phys	2D13+5	0	72	Earth	2D7+5	Earth	0	0	0	0	0	25	25	Imm	Imm	5	Imm	5	5	25	0
254	Corrupted Tree	Treant B	20	230	12	980	42%L3Gem	0	N	stand	Suicidal	1	215	100	D	0	Phys	2D27+5	0	72	Earth	1D35+5	Earth	0	0	0	0	0	30	30	Imm	Imm	5	Imm	5	5	30	0
255	Deeprooted Treefiend	Treant C	25	315	14	1475	60%L4Gem	0	N	stand	Suicidal	1	259	100	D	BrkItem	Phys	8D10+5	0	72	Earth	7D6+5	Earth	0	0	0	0	0	40	40	Imm	Imm	5	Imm	5	5	40	0
256	Ghast	Ghoul A	18	200	9	810	12%6D5	1	N	Med	Aggress	1	240	110	CP	Disease1	Phys	1D8+5	0	0	0	0	0	0	0	0	0	0	5	15	5	Imm	0	Imm	0	55	5	0
257	Revenant	Ghoul B	21	245	16	1071	12%9D4	1	N	Med	Aggress	1	279	100	CP	Paralyze	Phys	2D9+5	0	0	0	0	0	0	0	0	0	0	5	15	5	Imm	0	Imm	0	65	5	0
258	Nightgaunt	Ghoul C	25	315	24	1475	30%15D4	1	N	Med	Suicidal	1	324	90	CP	Paralyze	Phys	4D6+5	0	0	0	0	0	0	0	0	0	0	5	20	5	Imm	0	Imm	0	75	5	0
259	Tolberti	zBlasterGuy A	80	2090	96	13520	0	1	N	Free	Suicidal	4	612	40	0	Errad	Ener	1D41+5	Ener	0	0	0	0	47	"Power Cure,G,15"	47	"Hour of Power,G,15"	55	55	55	55	Imm	55	55	Imm	Imm	55	shot,x2
260	Robert the Wise	zBlasterGuy B	80	2090	96	13520	0	1	N	Free	Suicidal	4	612	40	0	Errad	Ener	1D41+5	Ener	0	0	0	0	47	"Power Cure,G,15"	47	"Hour of Power,G,15"	55	55	55	55	Imm	55	55	Imm	Imm	55	shot,x2
261	Blaster Guy C	zBlasterGuy C	80	2090	96	13520	0	1	N	Free	Suicidal	4	612	40	0	Errad	Ener	1D41+5	Ener	0	0	0	0	47	"Power Cure,G,15"	47	"Hour of Power,G,15"	55	55	55	55	Imm	55	55	Imm	Imm	55	shot,x2
262	Omega-Dragon	zUltra Dragon A	100	3110	120	20900	0	1	Y	Short	Suicidal	4	1188	30	4	Errad	Ener	27D8+5	Ener	0	0	0	0	0	0	0	0	Imm	70	70	70	70	15	Imm	50	50	70	Summon,air,Dragon C
263	Omega-Dragon	zUltra Dragon B	100	3110	120	20900	0	1	Y	Short	Suicidal	4	1188	30	4	Errad	Ener	27D8+5	Ener	0	0	0	0	0	0	0	0	Imm	70	70	70	70	15	Imm	50	50	70	Summon,air,Dragon C
264	Omega-Dragon	zUltra Dragon C	100	3110	120	20900	0	1	Y	Short	Suicidal	4	1188	30	4	Errad	Ener	27D8+5	Ener	0	0	0	0	0	0	0	0	Imm	70	70	70	70	15	Imm	50	50	70	Summon,air,Dragon C
265	Cat C	zcat a 	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266	Cat C	zcat a 	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
267	Cat C	zcat a 	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268	Chicken C	zchicken a	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
269	Chicken C	zchicken a	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270	Chicken C	zchicken a	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
271	Dog C	zdog a	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
272	Dog C	zdog a	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
273	Dog C	zdog a	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
274	Rat C	zrat a	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
275	Rat C	zrat a	1	25	3	11	4D4	1	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
276	Rat C	zrat a	1	25	3	11	4D4	0	N	Long	Wimp	4	170	100	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
